*Frequency 	VF2-abs (dB)	VF2-phase (deg)	VF1-abs (dB)	VF1-phase (deg)
1000000	-25.4156778542974	-0.696901107740363	-25.414893762847	179.293370304343
1096478.19614318	-25.4157258861716	-0.764280246044158	-25.4149399125721	179.22505243842
1202264.43461741	-25.4157836328891	-0.838146741414269	-25.4149953965252	179.150156606995
1318256.73855641	-25.4158530590839	-0.919127444544704	-25.4150621023898	179.068047204368
1445439.77074593	-25.4159365266352	-1.00790953231677	-25.4151422995451	178.978027449769
1584893.19246111	-25.4160368749887	-1.10524632238113	-25.4152387162494	178.879333489528
1737800.82874938	-25.4161575176428	-1.21196364035289	-25.4153546323564	178.771127938183
1905460.71796325	-25.416302558157	-1.32896679376576	-25.4154939907949	178.652492803418
2089296.13085404	-25.4164769295442	-1.45724821004777	-25.415661531524	178.522421736485
2290867.65276777	-25.4166865618145	-1.59789579712822	-25.4158629525478	178.379811548251
2511886.43150958	-25.4169385832545	-1.75210209908979	-25.416105103359	178.223452917013
2754228.70333817	-25.4172415623046	-1.92117430806455	-25.4163962174143	178.052020225211
3019951.72040202	-25.4176057981059	-2.10654521884388	-25.4167461914053	177.864060436589
3311311.21482591	-25.4180436694988	-2.3097852024235	-25.4171669207396	177.657980935264
3630780.54770101	-25.418570054129	-2.53261528843371	-25.4176727024532	177.432036233969
3981071.70553497	-25.4192028316566	-2.77692144646768	-25.4182807190318	177.184313458144
4365158.32240166	-25.4199634877468	-3.04477016458292	-25.4190116192133	176.912716503547
4786300.92322638	-25.420877838796	-3.33842542127349	-25.4198902150051	176.614948766185
5248074.60249773	-25.4219769012161	-3.66036715808208	-25.4209463179049	176.288494331353
5754399.37337157	-25.4232979335451	-4.013311345149	-25.4222157416166	175.930597522021
6309573.44480193	-25.4248856850952	-4.40023173455103	-25.4237415038505	175.538240702435
6918309.70918936	-25.4267938909582	-4.82438340974311	-25.4255752657453	175.108120217029
7585775.75029184	-25.4290870605336	-5.28932816702057	-25.4277790546376	174.636620414192
8317637.71102671	-25.431842615025	-5.79896179949065	-25.4304273240294	174.119785666105
9120108.3935591	-25.4351534388175	-6.35754331544519	-25.4336094139542	173.553290329722
10000000	-25.4391309205004	-6.96972599665046	-25.4374324857319	172.9324067143
10964781.9614319	-25.4439085709002	-7.64059025789441	-25.4420250167478	172.251971057525
12022644.3461741	-25.4496463184386	-8.37567806099203	-25.4475409540654	171.506347710978
13182567.3855641	-25.4565355951858	-9.18102855847714	-25.4541646392343	170.689391802032
14454397.7074593	-25.4648053400605	-10.0632144995266	-25.4621166306519	169.794410767812
15848931.9246111	-25.4747290571542	-11.0293786686484	-25.4716605628951	168.814125402016
17378008.2874938	-25.4866330754622	-12.0872693241398	-25.4831111931565	167.740631339348
19054607.1796325	-25.5009061585232	-13.2452733911735	-25.4968437907979	166.565362092665
20892961.3085404	-25.5180106051643	-14.5124455348315	-25.5133050240792	165.279055364607
22908676.5276777	-25.5384949595003	-15.8985309165974	-25.5330254826879	163.871724655828
25118864.3150958	-25.5630084036646	-17.4139786470733	-25.5566339405298	162.332638966779
27542287.0333817	-25.5923168298274	-19.0699424987082	-25.5848734004005	160.650313835792
30199517.2040202	-25.6273204694395	-20.8782644601912	-25.6186188617107	158.812517958422
33113112.1482591	-25.6690727830904	-22.8514364099075	-25.6588966003426	156.806299996307
36307805.4770101	-25.7188000736254	-25.0025342383402	-25.7069045350647	154.618041250205
39810717.0553497	-25.7779209665977	-27.3451190883086	-25.7640329640495	152.233539737941
43651583.2240166	-25.848064506723	-29.8931004199047	-25.8318845846156	149.638131500402
47863009.2322638	-25.9310851591634	-32.6605572823683	-25.9122922642232	146.816853744823
52480746.0249773	-26.0290725204464	-35.6615167070669	-26.0073325397769	143.754652516567
57543993.7337157	-26.1443531098893	-38.9096926881925	-26.1193323441811	140.436633782737
63095734.4480193	-26.2794813489851	-42.4181954022102	-26.2508660963939	136.848351423689
69183097.0918936	-26.4372169035751	-46.1992283917671	-26.4047401881961	132.976118245439
75857757.5029184	-26.6204861487686	-50.263800903435	-26.5839622381008	128.807316999117
83176377.110267	-26.8323267840722	-54.6214906302468	-26.7916934385179	124.330679995393
91201083.935591	-27.0758166334977	-59.2802990729982	-27.0311839976335	119.536497613741
100000000	-27.3539902860984	-64.2466409223211	-27.3056940232311	114.416714325031
109647819.614319	-27.669750040917	-69.5255019450173	-27.6184048859958	108.964874217988
120226443.461741	-28.0257799292636	-75.1207806513121	-27.9723285396622	103.175893149608
131825673.855641	-28.4244724978571	-81.0358045307686	-28.3702236085031	97.0456554139614
144543977.074593	-28.8678767980829	-87.2739808390145	-28.8145264850603	90.5704612920283
158489319.246111	-29.3576722855356	-93.8395188414387	-29.3073027256997	83.7463746887642
173780082.874938	-29.8951675484292	-100.738150564193	-29.8502189686397	76.5685318666847
190546071.796325	-30.481316248891	-107.977791191934	-30.4445295794284	69.0304616728826
208929613.085404	-31.1167373202954	-115.56911908147	-31.0910671531206	61.1234328016935
229086765.276777	-31.8017243827545	-123.526115031111	-31.7902240084528	52.8357876332562
251188643.150958	-32.5362320363785	-131.86667243179	-32.5419145373533	44.1521534837141
275422870.333816	-33.3198347529143	-140.613453312951	-33.3455163736723	35.0523622801119
301995172.040202	-34.1516668952669	-149.795217925866	-34.1998011311944	25.5098617728979
331131121.482591	-35.030368992733	-159.448877954224	-35.1028817696546	15.4893851069123
363078054.770101	-35.9540853700035	-169.622534897078	-36.0522228263039	4.94364069355711
398107170.553497	-36.9205841082601	-180.379757441269	-37.0447842331225	-6.19120320487521
436515832.240166	-37.9276095823314	-191.805340088179	-38.0774068591801	-18.0014530050289
478630092.322638	-38.9736460599582	-204.012706266406	-39.1476143014397	-30.603384344059
524807460.249773	-40.0593921601762	-217.152799314572	-40.2551254661344	-44.1521297909858
575439937.337157	-41.1904443408565	-231.423236038752	-41.4045706082186	-58.8507395982648
630957344.480194	-42.3819349687249	-247.073512871546	-42.6101518309162	-74.9552251158103
691830970.918937	-43.6658997737718	-264.395025162421	-43.9030201958392	-92.764374369223
758577575.029183	-45.1009776653739	-283.672004505901	-45.340972071807	-112.570475678707
831763771.102671	-46.7795349370749	-305.059475550989	-47.0155584947	-134.537076489217
912010839.35591	-48.8187699396657	-328.386178021421	-49.0431668025841	-158.501738553058
