*Frequency 	VN-abs (dB)	VN-phase (deg)	VP-abs (dB)	VP-phase (deg)
1000000	10.353506379973	-0.607055767126931	10.352135828016	179.388931465307
1096478.19614318	10.3534759662773	-0.666489579589335	10.3521056288305	179.329110501575
1202264.43461741	10.3534393998128	-0.731580842662742	10.3520693202635	179.263594733445
1318256.73855641	10.3533954365188	-0.802881990120312	10.3520256670298	179.191828122641
1445439.77074593	10.3533425807367	-0.880998130894907	10.3519731840211	179.113201607754
1584893.19246111	10.3532790343607	-0.966592172704493	10.351910085816	179.027047946978
1737800.82874938	10.3532026357181	-1.06039043271765	10.3518342259911	178.932636070536
1905460.71796325	10.3531107861065	-1.16318878030961	10.351743024178	178.829164897429
2089296.13085404	10.3530003615031	-1.27585936381235	10.3516333783955	178.715756564238
2290867.65276777	10.3528676064595	-1.39935797485589	10.3515015596941	178.59144901201
2511886.43150958	10.3527080065982	-1.53473211047199	10.3513430855549	178.455187870593
2754228.70333817	10.3525161354143	-1.68312979752258	10.3511525677736	178.305817575409
3019951.72040202	10.3522854702231	-1.84580924812356	10.3509235297114	178.142071647431
3311311.21482591	10.3520081710753	-2.02414942280979	10.3506481867756	177.962562059042
3630780.54770101	10.3516748152354	-2.2196615808993	10.3503171827806	177.765767605645
3981071.70553497	10.3512740783604	-2.43400190438127	10.3499192733882	177.55002119596
4365158.32240166	10.3507923517775	-2.66898528656451	10.3494409461051	177.313495968933
4786300.92322638	10.3502132831986	-2.92660038345264	10.3488659642645	177.05419013835
5248074.60249773	10.3495172257586	-3.20902602662108	10.348174819993	176.76991046531
5754399.37337157	10.3486805773787	-3.51864910235486	10.3473440782926	176.458254252587
6309573.44480193	10.3476749890526	-3.8580840014079	10.3463455909983	176.116589755109
6918309.70918936	10.3464664166705	-4.23019374399066	10.3451455554153	175.742034900346
7585775.75029184	10.345013986356	-4.63811287915998	10.3437033878403	175.331434217554
8317637.71102671	10.3432686379377	-5.08527224629486	10.3419703768638	174.881333885996
9120108.3935591	10.3411715050392	-5.57542567091008	10.3398880752635	174.387954827282
10000000	10.3386519833483	-6.11267864507799	10.3373863824454	173.847163788485
10964781.9614319	10.3356254309353	-6.70151899485169	10.334381261769	173.254442409901
12022644.3461741	10.3319904361418	-7.34684949852966	10.3307720288403	172.604854309127
13182567.3855641	10.3276255798069	-8.05402233027676	10.3264381382059	171.893010301422
14454397.7074593	10.3223856098851	-8.82887511384512	10.3212353872966	171.113031964818
15848931.9246111	10.3160969385619	-9.67776823727602	10.3149914486661	170.258513890645
17378008.2874938	10.3085523659763	-10.6076229020528	10.3075006357485	169.322485135404
19054607.1796325	10.2995049323452	-11.6259591684412	10.2985178052366	168.297370598886
20892961.3085404	10.2886608042472	-12.7409329595298	10.2877513033726	167.174953348978
22908676.5276777	10.2756711147415	-13.9613706785292	10.2748548776085	165.946339216829
25118864.3150958	10.2601227059155	-15.2967996471814	10.2594185042841	164.601925426416
27542287.0333817	10.241527773239	-16.7574721229447	10.2409581340308	163.131375464471
30199517.2040202	10.2193124926094	-18.3543801231279	10.2189044383974	161.523602915125
33113112.1482591	10.1928048340929	-20.0992577693234	10.1925907645276	159.766767483761
36307805.4770101	10.1612219440721	-22.0045673809525	10.1612406825542	157.848286899358
39810717.0553497	10.1236577230767	-24.0834653047684	10.1239557558295	155.754868600012
43651583.2240166	10.079071552299	-26.3497435369942	10.0797044893481	153.472565000606
47863009.2322638	10.0262795334939	-28.8177439608988	10.027313822226	150.986855326648
52480746.0249773	9.96395009899839	-31.5022437876382	9.96546501975645	148.282755166625
57543993.7337157	9.89060639193736	-34.4183140364466	9.89269635951568	145.344951555393
63095734.4480193	9.80463835023449	-37.5811581192221	9.80741553176405	142.157956045829
69183097.0918936	9.70432784234094	-41.0059453391041	9.70792507519579	138.706260306462
75857757.5029184	9.58789033676036	-44.7076646763722	9.59246428008293	134.974467976016
83176377.110267	9.45353622749458	-48.7010374636236	9.45927059123239	130.947362939993
91201083.935591	9.29955384445914	-53.0005430138562	9.30666238207511	126.609858267384
100000000	9.12441413418724	-57.6206274286254	9.13314281031751	121.946753249468
109647819.614319	8.92689386887876	-62.5761807773348	8.93752113528742	116.942210186655
120226443.461741	8.7062100435908	-67.883379960416	8.71904332468333	111.578849428611
131825673.855641	8.46215297517205	-73.5610025049793	8.47751801124783	105.836352194757
144543977.074593	8.19519959449951	-79.6323227414397	8.21341674761321	99.6894540264039
158489319.246111	7.90658107386608	-86.127709868748	7.92791825723668	93.1052054586795
173780082.874938	7.59826852660801	-93.0880667016858	7.62285273932432	86.0393657713603
190546071.796325	7.27282272661909	-100.569283472086	7.30047931124776	78.4317865290951
208929613.085404	6.9330197194698	-108.647927977927	6.96298848409499	70.2006647569616
229086765.276777	6.58109708660448	-117.42840118394	6.6115490618489	61.2357048851961
251188643.150958	6.2173366930049	-127.051580314771	6.24460296997543	51.3907845286639
275422870.333816	5.83747064625892	-137.704009093409	5.85496588843005	40.4782355153388
301995172.040202	5.4280754279019	-149.623523756246	5.42523051294363	28.2702629954147
331131121.482591	4.9590389355064	-163.088833178758	4.92135979300305	14.5190810192328
363078054.770101	4.37377147529304	-178.365280391114	4.28594903310645	-0.985771349553312
398107170.553497	3.58375348164226	-195.572670779238	3.43628441717038	-18.3062453434717
436515832.240166	2.48242202337463	-214.496676196255	2.27722235767954	-37.2091425006527
478630092.322638	0.987482571843625	-234.50056816631	0.736461797573895	-57.0950250487962
524807460.249773	-0.912877557282141	-254.722966469048	-1.19476814384818	-77.1636507201395
575439937.337157	-3.15542498651206	-274.469982684894	-3.45590432854416	-96.7663291867183
630957344.480194	-5.64332593080323	-293.46093887733	-5.95438610455718	-115.640224048622
691830970.918937	-8.29094783497066	-311.788074388409	-8.60783164000878	-133.876582205796
758577575.029183	-11.0436853014191	-329.746222023346	-11.3631710839675	-151.761687280896
831763771.102671	-13.8777290140218	-347.69102937988	-14.1966931385012	-169.64276309768
912010839.35591	-16.7930744943263	-365.962876278535	-17.1076662938172	-187.855776870145
1000000000	-19.806835204312	-384.854036865499	-20.1123138020132	-206.693332215862
1096478196.14319	-22.9483547137371	-404.593728485011	-23.2394337203738	-226.387919539966
1202264434.61741	-26.2553627408045	-425.337229832853	-26.5267561525718	-247.097871001031
1318256738.55641	-29.7699509823167	-447.155334287552	-30.0168046733553	-268.893798104995
1445439770.74593	-33.5334464168546	-470.027326861048	-33.7514761525364	-291.74969507083
1584893192.46111	-37.5800176769199	-493.844269531537	-37.765341377117	-315.545521813633
1737800828.74937	-41.9298372795788	-518.428532872158	-42.0785831182852	-340.086603036459
1905460717.96325	-46.5834489195946	-543.569369693714	-46.6912271800306	-365.138976332754
2089296130.85404	-51.5191510805186	-569.064139457701	-51.5804369842081	-390.469871000939
2290867652.76777	-56.6944186686022	-594.745756545466	-56.7018448750387	-415.873697161713
2511886431.50958	-62.0511590146946	-620.477234742727	-61.9946773704371	-441.164343756101
2754228703.33817	-67.5240699507344	-646.108824653398	-67.3899141301666	-466.12923333727
