*Frequency 	VF2-abs	VF2-phase (deg)	VF1-abs	VF1-phase (deg)
1000000	8.58840464625926E-9	9.17949994001595E-6	0	4.43843879953793E-7
1096478.19614318	8.58832805570739E-9	9.17946883929878E-6	2.66762727469751E-6	4.43839891822726E-7
1202264.43461741	8.58824308025722E-9	9.17943904272455E-6	3.86249728922327E-6	4.43835507295827E-7
1318256.73855641	8.58814739925355E-9	9.1794101458529E-6	4.8450119687814E-6	4.4383061012748E-7
1445439.77074593	8.5880382778763E-9	9.17938172123306E-6	5.73189048934215E-6	4.43825063745329E-7
1584893.19246111	8.58791247862618E-9	9.17935330861155E-6	6.5680835539951E-6	4.43818706864046E-7
1737800.82874938	8.58776615537555E-9	9.17932440355722E-6	7.37677505628564E-6	4.43811348238493E-7
1905460.71796325	8.58759472643921E-9	9.17929444424708E-6	8.17199085626199E-6	4.43802760380942E-7
2089296.13085404	8.58739272241514E-9	9.17926279593196E-6	8.96316830090238E-6	4.43792672032141E-7
2290867.65276777	8.58715360370025E-9	9.1792287326451E-6	9.75717807950668E-6	4.43780759134229E-7
2511886.43150958	8.58686954157651E-9	9.17919141548657E-6	1.05593434661362E-5	4.43766634003539E-7
2754228.70333817	8.58653115555559E-9	9.17914986686011E-6	1.13740043506107E-5	4.43749832341566E-7
3019951.72040202	8.58612719823028E-9	9.17910293974801E-6	1.22048522056319E-5	4.43729797651083E-7
3311311.21482591	8.5856441771661E-9	9.17904928104621E-6	1.30551404205287E-5	4.43705862539431E-7
3630780.54770101	8.58506590132748E-9	9.17898728772549E-6	1.39278225007191E-5	4.43677226289919E-7
3981071.70553497	8.58437293711565E-9	9.17891505438891E-6	1.48256463555049E-5	4.43642927962343E-7
4365158.32240166	8.58354195623757E-9	9.17883031046019E-6	1.57512206892544E-5	4.43601814141774E-7
4786300.92322638	8.58254495425921E-9	9.17873034492721E-6	1.67070629923477E-5	4.43552500287375E-7
5248074.60249773	8.58134831475109E-9	9.17861191619016E-6	1.76956349654564E-5	4.43493324436747E-7
5754399.37337157	8.57991168933471E-9	9.17847114398901E-6	1.87193690585189E-5	4.43422291791811E-7
6309573.44480193	8.57818665861693E-9	9.17830337993755E-6	1.9780688487991E-5	4.43337008446436E-7
6918309.70918936	8.57611513290166E-9	9.17810305239086E-6	2.08820222557174E-5	4.43234602210653E-7
7585775.75029184	8.5736274446599E-9	9.17786348069964E-6	2.20258161332954E-5	4.43111628138386E-7
8317637.71102671	8.57064007704687E-9	9.17757665291409E-6	2.32145401841624E-5	4.42963955977278E-7
9120108.3935591	8.56705296437433E-9	9.17723295988764E-6	2.4450693104445E-5	4.42786636333183E-7
10000000	8.56274629159574E-9	9.1768208776458E-6	2.5736803431031E-5	4.42573741885642E-7
10964781.9614319	8.55757671097617E-9	9.17632658825167E-6	2.70754274643135E-5	4.42318179529083E-7
12022644.3461741	8.55137288587371E-9	9.17573352803615E-6	2.84691435653574E-5	4.42011468870668E-7
13182567.3855641	8.54393026508805E-9	9.17502185012568E-6	2.99205423001262E-5	4.41643482148241E-7
