*Frequency 	VN-abs	VN-phase (deg)	VP-abs	VP-phase (deg)
1000000	1.9612833171126E-8	3.41183207400123E-7	0	1.11115805168693E-6
1096478.19614318	1.96106792567689E-8	3.41146932611883E-7	6.09159573792704E-6	1.11103603628601E-6
1202264.43461741	1.96086983514845E-8	3.411139088705E-7	8.81966936868214E-6	1.11092380154698E-6
1318256.73855641	1.96068719660092E-8	3.41083863354738E-7	1.10626206979236E-5	1.11082029779738E-6
1445439.77074593	1.96051825653373E-8	3.41056549713364E-7	1.30870265701314E-5	1.11072452880538E-6
1584893.19246111	1.96036133508758E-8	3.41031746270016E-7	1.4995557191402E-5	1.11063553932797E-6
1737800.82874938	1.9602148034394E-8	3.41009254488025E-7	1.68411698287328E-5	1.11055240217078E-6
1905460.71796325	1.96007705990332E-8	3.40988897694003E-7	1.86559056520244E-5	1.11047420448651E-6
2089296.13085404	1.95994650419535E-8	3.40970520063252E-7	2.04613263756226E-5	1.11040003299936E-6
2290867.65276777	1.95982150923543E-8	3.40953985874879E-7	2.2273132422909E-5	1.11032895779355E-6
2511886.43150958	1.959700389757E-8	3.40939179049967E-7	2.41034912851024E-5	1.11026001424479E-6
2754228.70333817	1.95958136687022E-8	3.40926002992381E-7	2.59623262937808E-5	1.11019218260088E-6
3019951.72040202	1.95946252757366E-8	3.40914380758915E-7	2.78580823348074E-5	1.11012436463059E-6
3311311.21482591	1.95934177802854E-8	3.40904255594012E-7	2.97982070500126E-5	1.11005535665479E-6
3630780.54770101	1.95921678919278E-8	3.40895591873904E-7	3.17894674741869E-5	1.10998381814854E-6
3981071.70553497	1.9590849331533E-8	3.40888376516798E-7	3.38381666189652E-5	1.10990823495254E-6
4365158.32240166	1.95894320818729E-8	3.408826209293E-7	3.5950296646209E-5	1.10982687595431E-6
4786300.92322638	1.95878815021955E-8	3.40878363575635E-7	3.81316504007684E-5	1.1097377418887E-6
5248074.60249773	1.95861572791376E-8	3.40875673275563E-7	4.03879047265313E-5	1.10963850465833E-6
5754399.37337157	1.95842121813358E-8	3.40874653360163E-7	4.27246840987647E-5	1.10952643528369E-6
6309573.44480193	1.95819905792469E-8	3.40875446842196E-7	4.51476101268108E-5	1.10939831825345E-6
6918309.70918936	1.95794266849494E-8	3.40878242791064E-7	4.76623406004183E-5	1.10925034965432E-6
7585775.75029184	1.95764424590037E-8	3.408832841421E-7	5.02746005226078E-5	1.10907801601292E-6
8317637.71102671	1.95729451227939E-8	3.40890877217493E-7	5.29902067359441E-5	1.10887595027936E-6
9120108.3935591	1.95688242052164E-8	3.40901403293476E-7	5.58150871557518E-5	1.10863776082548E-6
10000000	1.95639480423119E-8	3.40915332617025E-7	5.87552951800902E-5	1.10835582873251E-6
10964781.9614319	1.95581596378229E-8	3.40933241357733E-7	6.18170194930845E-5	1.10802106802177E-6
12022644.3461741	1.95512717823516E-8	3.40955832079593E-7	6.50065891764988E-5	1.10762264287668E-6
13182567.3855641	1.95430613198585E-8	3.40983958436439E-7	6.83304737675893E-5	1.10714763537425E-6
14454397.7074593	1.95332624443824E-8	3.41018654937591E-7	7.17952776305741E-5	1.1065806568867E-6
15848931.9246111	1.95215589095572E-8	3.41061172802107E-7	7.54077277313416E-5	1.10590339627032E-6
17378008.2874938	1.95075750425315E-8	3.41113023126209E-7	7.9174653611738E-5	1.10509409844446E-6
19054607.1796325	1.94908654775135E-8	3.41176028836256E-7	8.31029580471616E-5	1.10412696827918E-6
20892961.3085404	1.94709035698566E-8	3.41252387197286E-7	8.71995765414088E-5	1.10297149728286E-6
22908676.5276777	1.94470685294912E-8	3.41344745004334E-7	9.14714234762812E-5	1.10159171498999E-6
25118864.3150958	1.94186314358828E-8	3.41456289012537E-7	9.5925322412819E-5	1.09994537395446E-6
27542287.0333817	1.93847404826218E-8	3.41590854676326E-7	0.000100567917775787	1.09798308783053E-6
30199517.2040202	1.93444060687279E-8	3.41753056883852E-7	0.000105405565006814	1.09564745734733E-6
33113112.1482591	1.92964867286566E-8	3.41948447110632E-7	0.000110444196340256	1.09287224036094E-6
36307805.4770101	1.9239677396811E-8	3.42183702295586E-7	0.000115689159776613	1.08958165092019E-6
39810717.0553497	1.91725021514892E-8	3.42466851791716E-7	0.000121145029787478	1.08568990934816E-6
43651583.2240166	1.90933143791997E-8	3.42807549983787E-7	0.000126815390021867	1.08110121081649E-6
47863009.2322638	1.90003082127644E-8	3.43217403627829E-7	0.000132702591078631	1.07571033204149E-6
52480746.0249773	1.88915460444207E-8	3.43710364663822E-7	0.000138807490561378	1.06940414992379E-6
57543993.7337157	1.87650077369495E-8	3.44303201196934E-7	0.000145129188393758	1.06206439296923E-6
63095734.4480193	1.86186675904951E-8	3.45016061486622E-7	0.000151664777848393	1.05357197123597E-6
69183097.0918936	1.84506047914337E-8	3.45873148031605E-7	0.000158409141734472	1.04381321169286E-6
75857757.5029184	1.82591515045417E-8	3.46903520906396E-7	0.000165354833008597	1.03268823650483E-6
83176377.110267	1.80430794835873E-8	3.48142050825162E-7	0.000172492088357842	1.02012153405121E-6
91201083.935591	1.78018207196918E-8	3.49630541782494E-7	0.000179809029923097	1.00607446661273E-6
100000000	1.75357102159482E-8	3.51419038116193E-7	0.000187292111500478	9.90559034646829E-7
109647819.614319	1.72462299948947E-8	3.5356731663152E-7	0.000194926858252788	9.73651706168787E-7
120226443.461741	1.69362239824601E-8	3.56146531275133E-7	0.000202698930595568	9.5550558402267E-7
131825673.855641	1.66100446469654E-8	3.59240906382815E-7	0.000210595511982584	9.36358695213157E-7
144543977.074593	1.62735844418184E-8	3.62949225879408E-7	0.000218606976223387	9.16535767146416E-7
158489319.246111	1.59341355649692E-8	3.67385563383605E-7	0.000226728730902109	8.96440372101909E-7
173780082.874938	1.56000021976753E-8	3.72678093930785E-7	0.000234963050478244	8.76533345003219E-7
190546071.796325	1.5279743487E-8	3.78963654256026E-7	0.000243320577873377	8.57291020658693E-7
208929613.085404	1.49808257996054E-8	3.86373560830518E-7	0.000251820920287942	8.39131650376301E-7
229086765.276777	1.47072774664384E-8	3.95002699757505E-7	0.000260491263177527	8.22288680922158E-7
251188643.150958	1.4455674880952E-8	4.04850024422262E-7	0.000269360979051486	8.06595779828898E-7
275422870.333816	1.42086545435862E-8	4.15721088202793E-7	0.00027844870665554	7.91141526926411E-7
301995172.040202	1.39259809649152E-8	4.27114837131828E-7	0.000287737016484382	7.73795211052685E-7
331131121.482591	1.3536898042951E-8	4.38217627781933E-7	0.0002971318687688	7.50797164427436E-7
363078054.770101	1.29449538656122E-8	4.4826472611373E-7	0.000306416628217547	7.16995193210592E-7
398107170.553497	1.20595065251485E-8	4.5736665145519E-7	0.000315235258915309	6.67478283234724E-7
436515832.240166	1.0849654764029E-8	4.6710815598863E-7	0.000323151396203438	6.00444325912757E-7
478630092.322638	9.3851986344636E-9	4.79945553605337E-7	0.00032978829308694	5.19516706708268E-7
524807460.249773	7.82333465525666E-9	4.97918678728141E-7	0.000334973353423384	4.33204067050358E-7
575439937.337157	6.33658033644066E-9	5.22094150030748E-7	0.000338781818908037	3.51007365530124E-7
630957344.480194	5.0394769586327E-9	5.52935396964174E-7	0.000341456680091828	2.79297427397363E-7
691830970.918937	3.9706856884655E-9	5.90929314420301E-7	0.000343286360003679	2.20242013597068E-7
758577575.029183	3.11834454264155E-9	6.37134314464492E-7	0.000344523184079226	1.73185077399532E-7
831763771.102671	2.45007493196471E-9	6.937267640372E-7	0.000345357382750335	1.36317386366481E-7
912010839.35591	1.9307745940411E-9	7.64729656606028E-7	0.000345922179411823	1.07675761569499E-7
1000000000	1.52962871908666E-9	8.57137353120627E-7	0.000346307808350529	8.55405310082805E-8
1096478196.14319	1.22161041663146E-9	9.82817985354201E-7	0.000346574602330689	6.85223899370799E-8
1202264434.61741	9.87012505628102E-10	1.16201952321531E-6	0.000346762767924168	5.55358880739934E-8
1318256738.55641	8.10530527223469E-10	1.43017623762966E-6	0.000346899146496742	4.57451958132143E-8
1445439770.74593	6.80273363186653E-10	1.85130689785652E-6	0.000347001762631298	3.85047863829749E-8
1584893192.46111	5.86736905197997E-10	2.54429182226731E-6	0.000347082835875318	3.32987057738181E-8
1737800828.74937	5.21891089823542E-10	3.73417252026561E-6	0.000347150743504587	2.96879822150673E-8
1905460717.96325	4.78660262883316E-10	5.85224438179701E-6	0.000347211287627254	2.72820683236599E-8
2089296130.85404	4.50899132296848E-10	9.73104735473173E-6	0.000347268521222423	2.57392405652182E-8
2290867652.76777	4.33614765090583E-10	1.6980388713734E-5	0.000347325303576421	2.47807645800926E-8
2511886431.50958	4.23086725675878E-10	3.06979929998507E-5	0.000347383687179268	2.41986663128285E-8
2754228703.33817	4.16756038038065E-10	5.67816529065369E-5	0.000347445192398078	2.38499259866356E-8
3019951720.40202	4.12968805509255E-10	0.000106321239906267	0.000347511001958375	2.36422133532508E-8
3311311214.82591	4.1070125185651E-10	0.000200011585630572	0.00034758209646678	2.35184801284189E-8
3630780547.70101	4.09336567813702E-10	0.000376569018682226	0.000347659347180061	2.34444400937091E-8
3981071705.53497	4.08508591237812E-10	0.000709221601548733	0.000347743578826488	2.3399801865318E-8
4365158322.40166	4.08001233352115E-10	0.00133794884789001	0.00034783561225466	2.33726343268478E-8
4786300923.22638	4.0768692407655E-10	0.00253046961813945	0.000347936293985551	2.33559237606709E-8
5248074602.49773	4.07489996577386E-10	0.00478983249273503	0.000348046517548544	2.33455302507094E-8
5754399373.37158	4.07365226243084E-10	0.00901815431483714	0.000348167239848231	2.33389929565398E-8
6309573444.80194	4.0728532408881E-10	0.0166847037058463	0.000348299494671713	2.33348359403649E-8
6918309709.18935	4.07233646125571E-10	0.0297668810400921	0.0003484444046921	2.33321648938519E-8
7585775750.29184	4.07199924505656E-10	0.050004503394168	0.000348603192840022	2.33304319615483E-8
8317637711.02671	4.07177750096257E-10	0.0773960992484281	0.000348777193611464	2.33292977013206E-8
9120108393.55909	4.07163074788266E-10	0.10958692656533	0.00034896786469277	2.33285493897933E-8
10000000000	4.07153311827492E-10	0.143994379349368	0.000349176799169217	2.33280522172333E-8
 
